round,date,team_home,team_away,full_text
Final,02.06.2025,Pen,Unirea Slobozia,02.06.2025 | Pen | Unirea Slobozia | Winner: Unirea Slobozia | FC Voluntari | 2 | 0 | 1 | 0
Final,01.06.2025,Metaloglobus Bucharest,Advancing to next round: Metaloglobus Bucharest,01.06.2025 | Metaloglobus Bucharest | Advancing to next round: Metaloglobus Bucharest | Poli Iasi | 1 | 0
Final,26.05.2025,FC Voluntari,Unirea Slobozia,26.05.2025 | FC Voluntari | Unirea Slobozia | 2 | 1
Final,25.05.2025,Poli Iasi,Metaloglobus Bucharest,25.05.2025 | Poli Iasi | Metaloglobus Bucharest | 1 | 1
Round 10,24.05.2025,Univ. Craiova,Dinamo Bucuresti,24.05.2025 | Univ. Craiova | Dinamo Bucuresti | 2 | 1
Round 10,24.05.2025,U. Cluj,FC Rapid Bucuresti,24.05.2025 | U. Cluj | FC Rapid Bucuresti | 2 | 2
Round 10,23.05.2025,CFR Cluj,FCSB,23.05.2025 | CFR Cluj | FCSB | 1 | 1
Round 9,19.05.2025,FC Rapid Bucuresti,CFR Cluj,19.05.2025 | FC Rapid Bucuresti | CFR Cluj | 1 | 4
Round 9,18.05.2025,FC Botosani,FC Hermannstadt,18.05.2025 | FC Botosani | FC Hermannstadt | 2 | 1
Round 9,18.05.2025,Poli Iasi,Petrolul,18.05.2025 | Poli Iasi | Petrolul | 0 | 2
Round 9,18.05.2025,Unirea Slobozia,Sepsi Sf. Gheorghe,18.05.2025 | Unirea Slobozia | Sepsi Sf. Gheorghe | 2 | 1
Round 9,17.05.2025,FCSB,Univ. Craiova,17.05.2025 | FCSB | Univ. Craiova | 1 | 0
Round 9,17.05.2025,UTA Arad,Gloria Buzau,17.05.2025 | UTA Arad | Gloria Buzau | 0 | 0
Round 9,16.05.2025,Dinamo Bucuresti,U. Cluj,16.05.2025 | Dinamo Bucuresti | U. Cluj | 1 | 3
Round 9,16.05.2025,Otelul,Farul Constanta,16.05.2025 | Otelul | Farul Constanta | 0 | 0
Round 8,12.05.2025,Dinamo Bucuresti,FC Rapid Bucuresti,12.05.2025 | Dinamo Bucuresti | FC Rapid Bucuresti | 0 | 0
Round 8,12.05.2025,Petrolul,Otelul,12.05.2025 | Petrolul | Otelul | 1 | 3
Round 8,11.05.2025,U. Cluj,FCSB,11.05.2025 | U. Cluj | FCSB | 0 | 2
Round 8,10.05.2025,Univ. Craiova,CFR Cluj,10.05.2025 | Univ. Craiova | CFR Cluj | 2 | 2
Round 8,10.05.2025,FC Hermannstadt,Poli Iasi,10.05.2025 | FC Hermannstadt | Poli Iasi | 1 | 0
Round 8,10.05.2025,Farul Constanta,UTA Arad,10.05.2025 | Farul Constanta | UTA Arad | 1 | 2
Round 8,09.05.2025,Sepsi Sf. Gheorghe,FC Botosani,09.05.2025 | Sepsi Sf. Gheorghe | FC Botosani | 2 | 0
Round 8,09.05.2025,Gloria Buzau,Unirea Slobozia,09.05.2025 | Gloria Buzau | Unirea Slobozia | 0 | 3
Round 7,05.05.2025,FCSB,Dinamo Bucuresti,05.05.2025 | FCSB | Dinamo Bucuresti | 3 | 1
Round 7,05.05.2025,UTA Arad,Petrolul,05.05.2025 | UTA Arad | Petrolul | 2 | 0
Round 7,04.05.2025,Otelul,FC Hermannstadt,04.05.2025 | Otelul | FC Hermannstadt | 1 | 2
Round 7,03.05.2025,CFR Cluj,U. Cluj,03.05.2025 | CFR Cluj | U. Cluj | 1 | 0
Round 7,03.05.2025,Farul Constanta,Gloria Buzau,03.05.2025 | Farul Constanta | Gloria Buzau | 1 | 0
Round 7,03.05.2025,FC Botosani,Unirea Slobozia,03.05.2025 | FC Botosani | Unirea Slobozia | 1 | 1
Round 7,02.05.2025,Univ. Craiova,FC Rapid Bucuresti,02.05.2025 | Univ. Craiova | FC Rapid Bucuresti | 1 | 2
Round 7,02.05.2025,Poli Iasi,Sepsi Sf. Gheorghe,02.05.2025 | Poli Iasi | Sepsi Sf. Gheorghe | 0 | 0
Round 6,28.04.2025,Dinamo Bucuresti,CFR Cluj,28.04.2025 | Dinamo Bucuresti | CFR Cluj | 1 | 1
Round 6,28.04.2025,Petrolul,Farul Constanta,28.04.2025 | Petrolul | Farul Constanta | 0 | 1
Round 6,27.04.2025,FC Rapid Bucuresti,FCSB,27.04.2025 | FC Rapid Bucuresti | FCSB | 1 | 2
Round 6,27.04.2025,Gloria Buzau,FC Botosani,27.04.2025 | Gloria Buzau | FC Botosani | 0 | 2
Round 6,26.04.2025,U. Cluj,Univ. Craiova,26.04.2025 | U. Cluj | Univ. Craiova | 2 | 1
Round 6,26.04.2025,FC Hermannstadt,UTA Arad,26.04.2025 | FC Hermannstadt | UTA Arad | 3 | 0
Round 6,25.04.2025,Sepsi Sf. Gheorghe,Otelul,25.04.2025 | Sepsi Sf. Gheorghe | Otelul | 0 | 3
Round 6,25.04.2025,Unirea Slobozia,Poli Iasi,25.04.2025 | Unirea Slobozia | Poli Iasi | 1 | 1
Round 5,21.04.2025,Dinamo Bucuresti,Univ. Craiova,21.04.2025 | Dinamo Bucuresti | Univ. Craiova | 0 | 2
Round 5,21.04.2025,Petrolul,Gloria Buzau,21.04.2025 | Petrolul | Gloria Buzau | 4 | 0
Round 5,20.04.2025,FCSB,CFR Cluj,20.04.2025 | FCSB | CFR Cluj | 3 | 2
Round 5,20.04.2025,Poli Iasi,FC Botosani,20.04.2025 | Poli Iasi | FC Botosani | 3 | 0
Round 5,19.04.2025,FC Rapid Bucuresti,U. Cluj,19.04.2025 | FC Rapid Bucuresti | U. Cluj | 0 | 2
Round 5,19.04.2025,Farul Constanta,FC Hermannstadt,19.04.2025 | Farul Constanta | FC Hermannstadt | 1 | 1
Round 5,18.04.2025,UTA Arad,Sepsi Sf. Gheorghe,18.04.2025 | UTA Arad | Sepsi Sf. Gheorghe | 1 | 1
Round 5,18.04.2025,Otelul,Unirea Slobozia,18.04.2025 | Otelul | Unirea Slobozia | 2 | 0
Round 4,14.04.2025,CFR Cluj,FC Rapid Bucuresti,14.04.2025 | CFR Cluj | FC Rapid Bucuresti | 1 | 1
Round 4,14.04.2025,FC Botosani,Otelul,14.04.2025 | FC Botosani | Otelul | 0 | 1
Round 4,13.04.2025,Univ. Craiova,FCSB,13.04.2025 | Univ. Craiova | FCSB | 0 | 0
Round 4,13.04.2025,Unirea Slobozia,UTA Arad,13.04.2025 | Unirea Slobozia | UTA Arad | 2 | 1
Round 4,12.04.2025,U. Cluj,Dinamo Bucuresti,12.04.2025 | U. Cluj | Dinamo Bucuresti | 2 | 4
Round 4,12.04.2025,Sepsi Sf. Gheorghe,Farul Constanta,12.04.2025 | Sepsi Sf. Gheorghe | Farul Constanta | 1 | 4
Round 4,11.04.2025,FC Hermannstadt,Petrolul,11.04.2025 | FC Hermannstadt | Petrolul | 1 | 1
Round 4,11.04.2025,Gloria Buzau,Poli Iasi,11.04.2025 | Gloria Buzau | Poli Iasi | 0 | 1
Round 3,07.04.2025,CFR Cluj,Univ. Craiova,07.04.2025 | CFR Cluj | Univ. Craiova | 2 | 0
