round,date,team_home,team_away,full_text
28,30.08.2025,Jeju SK,Gwangju FC,30.08.2025 | Jeju SK | Gwangju FC | 0 | 1
28,30.08.2025,Ulsan HD,Jeonbuk,30.08.2025 | Ulsan HD | Jeonbuk | 0 | 2
27,24.08.2025,Anyang,Daejeon,24.08.2025 | Anyang | Daejeon | 3 | 2
27,24.08.2025,Pohang,Jeonbuk,24.08.2025 | Pohang | Jeonbuk | 3 | 1
27,24.08.2025,Seoul,Ulsan HD,24.08.2025 | Seoul | Ulsan HD | 3 | 2
27,23.08.2025,Gwangju FC,Gangwon,23.08.2025 | Gwangju FC | Gangwon | 0 | 1
27,23.08.2025,Daegu,Jeju SK,23.08.2025 | Daegu | Jeju SK | 2 | 2
27,23.08.2025,Gimcheon Sangmu,Suwon FC,23.08.2025 | Gimcheon Sangmu | Suwon FC | 3 | 2
26,17.08.2025,Gimcheon Sangmu,Seoul,17.08.2025 | Gimcheon Sangmu | Seoul | 6 | 2
26,17.08.2025,Gwangju FC,Daejeon,17.08.2025 | Gwangju FC | Daejeon | 2 | 0
26,16.08.2025,Suwon FC,Ulsan HD,16.08.2025 | Suwon FC | Ulsan HD | 4 | 2
26,16.08.2025,Jeonbuk,Daegu,16.08.2025 | Jeonbuk | Daegu | 3 | 0
26,15.08.2025,Anyang,Pohang,15.08.2025 | Anyang | Pohang | 0 | 1
26,15.08.2025,Jeju SK,Gangwon,15.08.2025 | Jeju SK | Gangwon | 0 | 0
25,10.08.2025,Daejeon,Suwon FC,10.08.2025 | Daejeon | Suwon FC | 3 | 2
25,10.08.2025,Pohang,Gwangju FC,10.08.2025 | Pohang | Gwangju FC | 1 | 0
25,09.08.2025,Gangwon,Gimcheon Sangmu,09.08.2025 | Gangwon | Gimcheon Sangmu | 0 | 0
25,09.08.2025,Ulsan HD,Jeju SK,09.08.2025 | Ulsan HD | Jeju SK | 1 | 0
25,08.08.2025,Jeonbuk,Anyang,08.08.2025 | Jeonbuk | Anyang | 2 | 1
25,08.08.2025,Seoul,Daegu,08.08.2025 | Seoul | Daegu | 2 | 2
20,02.08.2025,Ulsan HD,Suwon FC,02.08.2025 | Ulsan HD | Suwon FC | 2 | 3
24,27.07.2025,Daegu,Pohang,27.07.2025 | Daegu | Pohang | 0 | 1
24,27.07.2025,Daejeon,Seoul,27.07.2025 | Daejeon | Seoul | 0 | 1
24,27.07.2025,Gangwon,Ulsan HD,27.07.2025 | Gangwon | Ulsan HD | 2 | 2
24,26.07.2025,Gimcheon Sangmu,Jeju SK,26.07.2025 | Gimcheon Sangmu | Jeju SK | 3 | 1
24,26.07.2025,Gwangju FC,Jeonbuk,26.07.2025 | Gwangju FC | Jeonbuk | 1 | 2
24,26.07.2025,Suwon FC,Anyang,26.07.2025 | Suwon FC | Anyang | 2 | 1
23,23.07.2025,Jeju SK,Seoul,23.07.2025 | Jeju SK | Seoul | 3 | 2
23,23.07.2025,Jeonbuk,Gangwon,23.07.2025 | Jeonbuk | Gangwon | 2 | 0
23,23.07.2025,Ulsan HD,Daejeon,23.07.2025 | Ulsan HD | Daejeon | 1 | 2
23,22.07.2025,Anyang,Daegu,22.07.2025 | Anyang | Daegu | 4 | 0
23,22.07.2025,Gwangju FC,Gimcheon Sangmu,22.07.2025 | Gwangju FC | Gimcheon Sangmu | 1 | 1
23,22.07.2025,Pohang,Suwon FC,22.07.2025 | Pohang | Suwon FC | 1 | 5
22,20.07.2025,Seoul,Ulsan HD,20.07.2025 | Seoul | Ulsan HD | 1 | 0
22,19.07.2025,Gangwon,Daejeon,19.07.2025 | Gangwon | Daejeon | 2 | 2
22,19.07.2025,Jeju SK,Anyang,19.07.2025 | Jeju SK | Anyang | 2 | 0
22,19.07.2025,Pohang,Jeonbuk,19.07.2025 | Pohang | Jeonbuk | 2 | 3
22,18.07.2025,Daegu,Gimcheon Sangmu,18.07.2025 | Daegu | Gimcheon Sangmu | 2 | 3
22,18.07.2025,Suwon FC,Gwangju FC,18.07.2025 | Suwon FC | Gwangju FC | 2 | 1
21,12.07.2025,Ulsan HD,Daegu,12.07.2025 | Ulsan HD | Daegu | 2 | 2
21,29.06.2025,Seoul,Pohang,29.06.2025 | Seoul | Pohang | 4 | 1
21,28.06.2025,Anyang,Gwangju FC,28.06.2025 | Anyang | Gwangju FC | 1 | 2
21,28.06.2025,Suwon FC,Gangwon,28.06.2025 | Suwon FC | Gangwon | 1 | 2
21,27.06.2025,Daejeon,Jeju SK,27.06.2025 | Daejeon | Jeju SK | 1 | 1
21,27.06.2025,Gimcheon Sangmu,Jeonbuk,27.06.2025 | Gimcheon Sangmu | Jeonbuk | 1 | 2
20,22.06.2025,Gimcheon Sangmu,Anyang,22.06.2025 | Gimcheon Sangmu | Anyang | 1 | 0
20,22.06.2025,Gwangju FC,Daejeon,22.06.2025 | Gwangju FC | Daejeon | 2 | 2
20,21.06.2025,Gangwon,Daegu,21.06.2025 | Gangwon | Daegu | 3 | 0
20,21.06.2025,Jeonbuk,Seoul,21.06.2025 | Jeonbuk | Seoul | 1 | 1
20,21.06.2025,Pohang,Jeju SK,21.06.2025 | Pohang | Jeju SK | 2 | 1
19,18.06.2025,Daejeon,Gimcheon Sangmu,18.06.2025 | Daejeon | Gimcheon Sangmu | 0 | 0
19,18.06.2025,Jeju SK,Gwangju FC,18.06.2025 | Jeju SK | Gwangju FC | 0 | 1
19,17.06.2025,Daegu,Pohang,17.06.2025 | Daegu | Pohang | 1 | 1
19,17.06.2025,Jeonbuk,Suwon FC,17.06.2025 | Jeonbuk | Suwon FC | 3 | 2
19,17.06.2025,Seoul,Gangwon,17.06.2025 | Seoul | Gangwon | 1 | 1
18,14.06.2025,Gimcheon Sangmu,Pohang,14.06.2025 | Gimcheon Sangmu | Pohang | 1 | 0
18,14.06.2025,Jeju SK,Daegu,14.06.2025 | Jeju SK | Daegu | 2 | 1
18,14.06.2025,Suwon FC,Anyang,14.06.2025 | Suwon FC | Anyang | 1 | 2
18,13.06.2025,Gangwon,Jeonbuk,13.06.2025 | Gangwon | Jeonbuk | 0 | 3
18,13.06.2025,Gwangju FC,Seoul,13.06.2025 | Gwangju FC | Seoul | 1 | 3
17,01.06.2025,Daegu,Gwangju FC,01.06.2025 | Daegu | Gwangju FC | 1 | 1
17,01.06.2025,Gimcheon Sangmu,Suwon FC,01.06.2025 | Gimcheon Sangmu | Suwon FC | 1 | 1
17,01.06.2025,Pohang,Gangwon,01.06.2025 | Pohang | Gangwon | 2 | 1
17,31.05.2025,Anyang,Daejeon,31.05.2025 | Anyang | Daejeon | 1 | 1
17,31.05.2025,Jeonbuk,Ulsan HD,31.05.2025 | Jeonbuk | Ulsan HD | 3 | 1
17,31.05.2025,Seoul,Jeju SK,31.05.2025 | Seoul | Jeju SK | 1 | 3
16,28.05.2025,Gangwon,Anyang,28.05.2025 | Gangwon | Anyang | 1 | 3
16,28.05.2025,Gimcheon Sangmu,Seoul,28.05.2025 | Gimcheon Sangmu | Seoul | 0 | 1
16,28.05.2025,Gwangju FC,Ulsan HD,28.05.2025 | Gwangju FC | Ulsan HD | 1 | 1
16,27.05.2025,Daegu,Jeonbuk,27.05.2025 | Daegu | Jeonbuk | 0 | 4
16,27.05.2025,Daejeon,Pohang,27.05.2025 | Daejeon | Pohang | 1 | 3
16,27.05.2025,Suwon FC,Jeju SK,27.05.2025 | Suwon FC | Jeju SK | 0 | 1
15,25.05.2025,Gwangju FC,Gangwon,25.05.2025 | Gwangju FC | Gangwon | 0 | 1
15,24.05.2025,Daejeon,Daegu,24.05.2025 | Daejeon | Daegu | 2 | 1
15,24.05.2025,Ulsan HD,Gimcheon Sangmu,24.05.2025 | Ulsan HD | Gimcheon Sangmu | 3 | 2
15,24.05.2025,Seoul,Suwon FC,24.05.2025 | Seoul | Suwon FC | 1 | 1
15,23.05.2025,Anyang,Pohang,23.05.2025 | Anyang | Pohang | 0 | 2
15,23.05.2025,Jeju SK,Jeonbuk,23.05.2025 | Jeju SK | Jeonbuk | 0 | 0
14,18.05.2025,Suwon FC,Daejeon,18.05.2025 | Suwon FC | Daejeon | 3 | 0
14,18.05.2025,Daegu,Seoul,18.05.2025 | Daegu | Seoul | 0 | 1
14,18.05.2025,Pohang,Gwangju FC,18.05.2025 | Pohang | Gwangju FC | 0 | 1
14,17.05.2025,Gangwon,Ulsan HD,17.05.2025 | Gangwon | Ulsan HD | 1 | 1
